Vegetation,Plant species,root microb3,GPS coords (dd),Elevation (masl) ,VWC (%) ,pH ,Location ,LDMC (g/g),SLA (cm^2/g),15N,13C,Wt% N*,Wt% C*,C:N ratio,soilN2,soilC2,Tube,SampleID
S,Alnus viridis (Chaix) DC. [ = Alnus alnobetula (Ehrh.) K. Koch],Nfix,"46.6211, 8.634943",1638,51,5.79,Switzerland,0.421875,132.1795397,-2.0868424,-29.8035856,1.4575696,51.3217023,35.21046426,0.301,4.857,1,ITS.cc.1
S,Alnus viridis (Chaix) DC. [ = Alnus alnobetula (Ehrh.) K. Koch],Nfix,"46.6211, 8.634943",1585,28,4.82,Switzerland,0.420747097,113.7801261,-1.6744886,-29.1097491,3.3056379,49.3145337,14.91831083,0.36,4.643,2,ITS.cc.2
S,Alnus viridis (Chaix) DC. [ = Alnus alnobetula (Ehrh.) K. Koch],Nfix,"46.6211, 8.634943",1560,36,4.69,Switzerland,0.375971342,32.73508518,-1.1199786,-29.7873792,3.373462,49.1094719,14.55758858,0.775,9.346,3,ITS.cc.3
S,Alnus viridis (Chaix) DC. [ = Alnus alnobetula (Ehrh.) K. Koch],Nfix,"46.6211, 8.634943",1558,35,5.29,Switzerland,0.390784558,129.5763623,-1.4123566,-29.2292713,3.0786187,47.8304094,15.53632134,0.216,4.727,4,ITS.cc.4
S,Alnus viridis (Chaix) DC. [ = Alnus alnobetula (Ehrh.) K. Koch],Nfix,"46.6211, 8.634943",1587,26,5.43,Switzerland,0.381828179,36.84852148,-1.6704558,-28.8869111,3.2160273,46.5199013,14.46502065,0.137,3.301,5,ITS.cc.5
S,Alnus viridis (Chaix) DC. [ = Alnus alnobetula (Ehrh.) K. Koch],Nfix,"46.6211, 8.634943",1597,37,5.19,Switzerland,0.42464986,126.3690815,-1.5464472,-28.5172026,3.0446319,49.2474421,16.17517116,0.297,3.589,6,ITS.cc.6
S,Alnus viridis (Chaix) DC. [ = Alnus alnobetula (Ehrh.) K. Koch],Nfix,"46.6211, 8.634943",1605,43,5.51,Switzerland,0.381731684,147.6869785,-1.4436108,-28.6721763,2.9004403,48.1461797,16.59961065,0.322,5.547,7,ITS.cc.7
S,Alnus viridis (Chaix) DC. [ = Alnus alnobetula (Ehrh.) K. Koch],Nfix,"46.6211, 8.634943",1606,46,6.6,Switzerland,0.394310777,30.59122969,-1.424455,-29.5382058,3.0314924,47.2767435,15.59520436,0.73,10.466,8,ITS.cc.8
S,Alnus viridis (Chaix) DC. [ = Alnus alnobetula (Ehrh.) K. Koch],Nfix,"46.6211, 8.634943",1625,42,4.82,Switzerland,0.405474654,29.75147978,-1.5635866,-29.2991614,2.5051845,49.3428206,19.69628209,0.733,8.336,9,ITS.cc.9
S,Alnus viridis (Chaix) DC. [ = Alnus alnobetula (Ehrh.) K. Koch],Nfix,"46.6211, 8.634943",1627,69,5.5,Switzerland,0.408518519,35.30274348,NA,NA,NA,NA,NA,0.153,8.257,10,ITS.cc.10
NS,"Euphrasia montana, Alchemilla xanthichlore",AMF,"46.6211, 8.634943",1638,36,5.13,Switzerland,NA,NA,NA,NA,NA,NA,NA,0.376,4.936,11,ITS.cc.11
NS,"Euphrasia montana, Alchemilla xanthichlore",AMF,"46.6211, 8.634943",1586,47,5.51,Switzerland,NA,NA,NA,NA,NA,NA,NA,0.566,4.941,12,ITS.cc.12
NS,"Euphrasia montana, Alchemilla xanthichlore",AMF,"46.6211, 8.634943",1556,36,5.36,Switzerland,NA,NA,NA,NA,NA,NA,NA,0.207,5.089,13,ITS.cc.13
NS,"Euphrasia montana, Alchemilla xanthichlore",AMF,"46.6211, 8.634943",1559,61,5.89,Switzerland,NA,NA,NA,NA,NA,NA,NA,0.452,4.849,14,ITS.cc.14
NS,"Euphrasia montana, Alchemilla xanthichlore",AMF,"46.6211, 8.634943",1587,38,5.4,Switzerland,NA,NA,NA,NA,NA,NA,NA,0.375,3.198,15,ITS.cc.15
NS,"Euphrasia montana, Alchemilla xanthichlore",AMF,"46.6211, 8.634943",1596,42,5.42,Switzerland,NA,NA,NA,NA,NA,NA,NA,0.45,6.805,16,ITS.cc.16
NS,"Euphrasia montana, Alchemilla xanthichlore",AMF,"46.6211, 8.634943",1601,44,5.36,Switzerland,NA,NA,NA,NA,NA,NA,NA,0.811,5.143,17,ITS.cc.17
NS,"Euphrasia montana, Alchemilla xanthichlore",AMF,"46.6211, 8.634943",1605,40,5.7,Switzerland,NA,NA,NA,NA,NA,NA,NA,0.236,3.494,18,ITS.cc.18
NS,"Alchemilla alpina, Silene v. ssp. glareosa, Vaccinium myrtillis",AMF,"46.6211, 8.634943",1626,44,5.31,Switzerland,NA,NA,NA,NA,NA,NA,NA,0.227,4.485,19,ITS.cc.19
NS,Alchemilla xanthichlore,AMF,"46.6211, 8.634943",1625,68,5.36,Switzerland,NA,NA,NA,NA,NA,NA,NA,1.052,10.943,20,ITS.cc.20
S,Sasa kurilensis,AMF,"43.563258, 142.901103",1781,40,6.6,Japan,0.531668697,122.4542362,-5.6619196,-25.8654304,1.5696194,42.0271896,26.77540148,1.644,18.513,21,ITS.cc.21
S,Sasa kurilensis,AMF,"43.563258, 142.901103",1780,58,6.8,Japan,0.504769475,29.0733932,-4.3855384,-26.7223438,2.4839612,44.2774917,17.82535561,0.414,16.618,22,ITS.cc.22
S,Sasa kurilensis,AMF,"43.563258, 142.901103",1771,50,6.3,Japan,0.484221599,29.24192056,-3.0194274,-25.5423153,1.458645,46.1503852,31.63921667,0.64,15.43,23,ITS.cc.23
S,Sasa kurilensis,AMF,"43.563258, 142.901103",1766,58,6.2,Japan,0.529752705,31.80991836,-0.3870172,-24.7674468,2.542059,44.8904039,17.65907239,1.344,13.7,24,ITS.cc.24
S,Sasa kurilensis,AMF,"43.563258, 142.901103",1763,53,6.4,Japan,0.3813512,33.33867761,1.0668072,-25.9383592,3.332029,45.98782,13.80174662,0.8,10.357,25,ITS.cc.25
S,Sasa kurilensis,AMF,"43.563258, 142.901103",1773,57,6.2,Japan,0.496491228,126.5349853,-0.7318216,-25.2192002,1.9896751,46.1624368,23.20099236,1.467,11.588,26,ITS.cc.26
S,Sasa kurilensis,AMF,"43.563258, 142.901103",1774,58,6.4,Japan,0.460089241,126.5106245,-3.1293212,-25.2971935,2.0349592,44.751782,21.99148858,0.679,13.448,27,ITS.cc.27
S,Sasa kurilensis,AMF,"43.563258, 142.901103",1774,58,6.6,Japan,0.479452055,117.9056333,-3.8905122,-25.9059464,2.3522569,44.724479,19.01343301,1.126,11.812,28,ITS.cc.28
