,Kingdom,Phylum,Class,Order,Family,Genus,Species 
OTU1,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma terricola
OTU2,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
OTU3,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,
OTU4,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
OTU5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,Mycena citrinomarginata
OTU6,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU7,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,Mycena leptocephala
OTU8,Fungi,,,,,,
OTU9,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU10,Fungi,Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,Trichoglossum,
OTU11,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,,
OTU12,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius saturninus
OTU13,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Tylospora,Tylospora fibrillosa
OTU14,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius saniosus
OTU15,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU16,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,
OTU17,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU18,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU19,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe acutoconica
OTU20,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Elasticomyces,Elasticomyces elasticus
OTU21,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU22,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU23,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Clavaria flavipes
OTU24,,,,,,,
OTU25,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
OTU26,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU27,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Nidulariopsis,Nidulariopsis iowensis
OTU28,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU29,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU30,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma aeria
OTU31,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius alnobetulae
OTU32,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
OTU33,,,,,,,
OTU34,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella elongata
OTU35,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella pseudozygospora
OTU36,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius rufus
OTU37,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
OTU38,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius diasemospermus
OTU39,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU40,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella macrocystis
OTU41,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leohumicola,Leohumicola minima,
OTU42,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus hobsonii
OTU43,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
OTU44,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius cyathuliformis
OTU45,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella parvispora
OTU46,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU47,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus luteus
OTU48,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU49,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU50,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU52,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,
OTU53,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
OTU54,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,
OTU55,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,
OTU56,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
OTU57,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella gamsii
OTU58,Fungi,Rozellomycota,,,,,
OTU59,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU60,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU61,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,
OTU62,Fungi,Ascomycota,Leotiomycetes,Helotiales,Cystodendron,,
OTU63,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,
OTU64,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU65,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
OTU66,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,Trichocladium opacum
OTU67,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU68,,,,,,,
OTU69,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU70,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cuphophyllus,Cuphophyllus pratensis
OTU71,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU72,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella sublilacina
OTU73,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU74,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leptodontidium,,
