site,veg,symbiont,ITS.otus,ITS.chao1,ph,vwc,soilN,soilCN,sla,ldmc,leafN,temp,precip,PCOA1,PCOA2,X
Switzerland,S,Nfix,0.740185416,0.907925135,0.026777344,1.072464084,-0.767748055,0.016487114,0.067193677,0.396308283,0.609929781,0.27145921,0.727067299,-0.054890026,-0.388775304,ITS.cc.1
Switzerland,S,Nfix,-0.205360689,-0.21104577,-0.25184772,1.960829494,-0.931413745,2.690472268,0.067193677,0.396308283,0.609929781,0.27145921,0.727067299,-0.407637048,-0.230542476,ITS.cc.10
Colombia,NS,AMF,0.071153545,-0.024675143,0.036385105,1.516646789,1.203981169,-0.246667224,0.390231347,-0.830576899,-0.287086871,0.651898395,1.858088054,-0.49488475,-1.30840928,ITS.cc.100
Mexico,S,AMF,-0.403750182,-0.372311474,-0.25184772,-0.778297185,-0.978965263,0.181637062,-1.099186739,NA,-0.791439106,0.810414722,1.476515308,-0.657057578,0.493754711,ITS.cc.101
Mexico,S,AMF,-0.402329732,-0.291217899,-0.13655459,-0.806280695,-1.036469424,0.222561823,-1.099186739,NA,-0.791439106,0.810414722,1.476515308,-0.552761337,0.191653565,ITS.cc.102
Mexico,S,AMF,0.058369497,0.049848686,0.065208387,-0.699331371,-1.044210369,1.502272486,-1.099186739,NA,-0.791439106,0.810414722,1.476515308,-0.455356625,0.261852466,ITS.cc.103
Mexico,S,AMF,-0.747025558,-0.66714809,-0.60733487,-0.631864953,-0.673750868,-1.021694589,-1.099186739,NA,-0.791439106,0.810414722,1.476515308,-0.470592683,0.464055499,ITS.cc.104
Mexico,S,AMF,0.481190063,0.572323215,-0.25184772,-0.663155157,-1.039786972,-0.089525482,-1.099186739,NA,-0.791439106,0.810414722,1.476515308,-0.541132763,0.444393532,ITS.cc.105
Mexico,S,AMF,-0.077993687,0.01793255,-0.463218458,-0.455869895,-0.995553002,-0.592079163,-1.099186739,NA,-0.791439106,0.810414722,1.476515308,-0.463375005,0.434614846,ITS.cc.106
Mexico,S,AMF,0.639333478,0.954930808,-0.078908025,-0.714137461,-0.99887055,-0.703803913,-1.099186739,NA,-0.791439106,0.810414722,1.476515308,0.183614787,0.434585055,ITS.cc.107
Mexico,S,AMF,1.331092546,1.461045099,-0.088515786,-0.61049483,-1.067433204,0.52990744,-1.099186739,NA,-0.791439106,0.810414722,1.476515308,1.483217081,0.781347588,ITS.cc.108
Mexico,S,AMF,0.383652508,0.62365965,-0.117339068,-0.477388079,-1.091761887,2.595594146,-1.099186739,NA,-0.791439106,0.810414722,1.476515308,1.500460602,0.914643405,ITS.cc.109
Switzerland,NS,Nfix,-0.103088301,-0.144692126,-0.60733487,0.332159577,-0.684809361,-0.196163974,0.067193677,0.396308283,0.609929781,0.27145921,0.727067299,-0.226783742,-0.115601918,ITS.cc.11
