Sample ID,Tube
ITS.cc.1,1
ITS.cc.2,2
ITS.cc.5,5
ITS.cc.6,6
ITS.cc.9,9
ITS.cc.10,10
ITS.cc.11,11
ITS.cc.12,12
ITS.cc.14,14
ITS.cc.16,16
ITS.cc.18,18
ITS.cc.21,21
ITS.cc.22,22
ITS.cc.23,23
ITS.cc.24,24
ITS.cc.25,25
ITS.cc.26,26
ITS.cc.27,27
ITS.cc.28,28
ITS.cc.29,29
ITS.cc.30,30
ITS.cc.31,31
ITS.cc.32,32
ITS.cc.33,33
ITS.cc.34,34
ITS.cc.35,35
ITS.cc.36,36
ITS.cc.39,39
ITS.cc.40,40
ITS.cc.41,41
ITS.cc.42,42
ITS.cc.44,44
ITS.cc.45,45
ITS.cc.46,46
ITS.cc.47,47
ITS.cc.48,48
ITS.cc.49,49
ITS.cc.50,50
ITS.cc.51,51
ITS.cc.52,52
ITS.cc.53,53
ITS.cc.54,54
ITS.cc.55,55
ITS.cc.56,56
ITS.cc.57,57
ITS.cc.59,59
ITS.cc.61,61
ITS.cc.62,62
ITS.cc.63,63
ITS.cc.64,64
ITS.cc.65,65
ITS.cc.66,66
ITS.cc.68,68
ITS.cc.69,69
ITS.cc.70,70
ITS.cc.71,71
ITS.cc.73,73
ITS.cc.75,75
ITS.cc.76,76
ITS.cc.77,77
ITS.cc.78,78
ITS.cc.79,79
ITS.cc.80,80
ITS.cc.81,81
ITS.cc.82,82
ITS.cc.83,83
ITS.cc.85,85
ITS.cc.86,86
ITS.cc.88,88
ITS.cc.89,89
ITS.cc.90,90
ITS.cc.91,91
ITS.cc.92,92
ITS.cc.93,93
ITS.cc.94,94
ITS.cc.95,95
ITS.cc.96,96
ITS.cc.97,97
ITS.cc.98,98
ITS.cc.99,99
ITS.cc.100,100
ITS.cc.101,101
ITS.cc.102,102
ITS.cc.103,103
ITS.cc.104,104
ITS.cc.105,105
ITS.cc.106,106
ITS.cc.107,107
ITS.cc.108,108
ITS.cc.109,109
ITS.cc.110,110
ITS.cc.111,111
ITS.cc.112,112
ITS.cc.114,114
ITS.cc.115,115
ITS.cc.116,116
ITS.cc.117,117
ITS.cc.119,119
ITS.cc.120,120
ITS.cc.121,121
ITS.cc.123,123
ITS.cc.124,124
ITS.cc.125,125
ITS.cc.126,126
ITS.cc.127,127
ITS.cc.128,128
ITS.cc.129,129
ITS.cc.130,130
ITS.cc.131,131
ITS.cc.132,132
ITS.cc.133,133
ITS.cc.134,134
ITS.cc.135,135
ITS.cc.136,136
ITS.cc.137,137
ITS.cc.138,138
ITS.cc.139,139
ITS.cc.140,140
ITS.cc.141,141
ITS.cc.142,142
ITS.cc.143,143
ITS.cc.144,144
ITS.cc.146,146
ITS.cc.147,147
ITS.cc.148,148
ITS.cc.149,149
ITS.cc.150,150
ITS.cc.151,151
ITS.cc.153,153
ITS.cc.154,154
ITS.cc.155,155
ITS.cc.156,156
ITS.cc.157,157
ITS.cc.158,158
ITS.cc.159,159
ITS.cc.160,160
ITS.cc.161,161
ITS.cc.162,162
ITS.cc.163,163
ITS.cc.164,164
ITS.cc.165,165
ITS.cc.166,166
ITS.cc.167,167
ITS.cc.168,168
ITS.cc.169,169
ITS.cc.170,170
ITS.cc.171,171
ITS.cc.172,172
ITS.cc.173,173
ITS.cc.174,174
ITS.cc.175,175
ITS.cc.176,176
ITS.cc.177,177
ITS.cc.178,178
ITS.cc.179,179
ITS.cc.180,180
ITS.cc.181,181
ITS.cc.182,182
ITS.cc.183,183
ITS.cc.184,184
ITS.cc.185,185
ITS.cc.186,186
ITS.cc.187,187
ITS.cc.188,188
ITS.cc.189,189
ITS.cc.190,190
ITS.cc.191,191
ITS.cc.193,193
ITS.cc.194,194
ITS.cc.195,195
ITS.cc.196,196
ITS.cc.197,197
ITS.cc.198,198
ITS.cc.199,199
ITS.cc.200,200
ITS.cc.201,201
ITS.cc.202,202
ITS.cc.203,203
ITS.cc.204,204
ITS.cc.205,205
ITS.cc.206,206
ITS.cc.207,207
ITS.cc.208,208
ITS.cc.209,209
ITS.cc.211,211
ITS.cc.212,212
ITS.cc.213,213
ITS.cc.214,214
ITS.cc.215,215
ITS.cc.216,216
ITS.cc.217,217
ITS.cc.218,218
ITS.cc.219,219
ITS.cc.220,220
ITS.cc.221,221
ITS.cc.222,222
ITS.cc.223,223
ITS.cc.224,224
ITS.cc.225,225
ITS.cc.226,226
ITS.cc.230,230
ITS.cc.231,231
ITS.cc.233,233
ITS.cc.236,236
ITS.cc.237,237
ITS.cc.238,238
ITS.cc.239,239
ITS.cc.240,240
ITS.cc.241,241
ITS.cc.242,242
ITS.cc.243,243
ITS.cc.244,244
ITS.cc.245,245
ITS.cc.246,246
ITS.cc.247,247
ITS.cc.248,248
ITS.cc.249,249
ITS.cc.250,250
ITS.cc.251,251
ITS.cc.252,252
ITS.cc.253,253
ITS.cc.254,254
ITS.cc.255,255
ITS.cc.256,256
