site,veg,site.veg,plant.species,root microb,coord.X,coord.Y,elevation,VWC,pH,Tube,SampleID,soilN2,soilC2
Switzerland,S,Switzerland.S,Alnus viridis,Nfix,8.634943,46.6211,1638,51,5.79,1,ITS.cc.1,0.301,4.857
Switzerland,S,Switzerland.S,Alnus viridis,Nfix,8.634943,46.6211,1585,28,4.82,2,ITS.cc.2,0.36,4.643
Switzerland,S,Switzerland.S,Alnus viridis,Nfix,8.634943,46.6211,1560,36,4.69,3,ITS.cc.3,0.775,9.346
Switzerland,S,Switzerland.S,Alnus viridis,Nfix,8.634943,46.6211,1558,35,5.29,4,ITS.cc.4,0.216,4.727
Switzerland,S,Switzerland.S,Alnus viridis,Nfix,8.634943,46.6211,1587,26,5.43,5,ITS.cc.5,0.137,3.301
Switzerland,S,Switzerland.S,Alnus viridis,Nfix,8.634943,46.6211,1597,37,5.19,6,ITS.cc.6,0.297,3.589
Switzerland,S,Switzerland.S,Alnus viridis,Nfix,8.634943,46.6211,1605,43,5.51,7,ITS.cc.7,0.322,5.547
Switzerland,S,Switzerland.S,Alnus viridis,Nfix,8.634943,46.6211,1606,46,6.6,8,ITS.cc.8,0.73,10.466
Switzerland,S,Switzerland.S,Alnus viridis,Nfix,8.634943,46.6211,1625,42,4.82,9,ITS.cc.9,0.733,8.336
Switzerland,S,Switzerland.S,Alnus viridis,Nfix,8.634943,46.6211,1627,69,5.5,10,ITS.cc.10,0.153,8.257
Switzerland,NS,Switzerland.NS,Euphrasia montana,AMF,8.634943,46.6211,1638,36,5.13,11,ITS.cc.11,0.376,4.936
Switzerland,NS,Switzerland.NS,Euphrasia montana,AMF,8.634943,46.6211,1586,47,5.51,12,ITS.cc.12,0.566,4.941
Switzerland,NS,Switzerland.NS,Euphrasia montana,AMF,8.634943,46.6211,1556,36,5.36,13,ITS.cc.13,0.207,5.089
Switzerland,NS,Switzerland.NS,Euphrasia montana,AMF,8.634943,46.6211,1559,61,5.89,14,ITS.cc.14,0.452,4.849
Switzerland,NS,Switzerland.NS,Euphrasia montana,AMF,8.634943,46.6211,1587,38,5.4,15,ITS.cc.15,0.375,3.198
Switzerland,NS,Switzerland.NS,Euphrasia montana,AMF,8.634943,46.6211,1596,42,5.42,16,ITS.cc.16,0.45,6.805
Switzerland,NS,Switzerland.NS,Euphrasia montana,AMF,8.634943,46.6211,1601,44,5.36,17,ITS.cc.17,0.811,5.143
Switzerland,NS,Switzerland.NS,Euphrasia montana,AMF,8.634943,46.6211,1605,40,5.7,18,ITS.cc.18,0.236,3.494
Switzerland,NS,Switzerland.NS,Alchemilla alpina,AMF,8.634943,46.6211,1626,44,5.31,19,ITS.cc.19,0.227,4.485
Switzerland,NS,Switzerland.NS,Alchemilla xanthichlore,AMF,8.634943,46.6211,1625,68,5.36,20,ITS.cc.20,1.052,10.943
Japan,S,Japan.S,Sasa kurilensis,AMF,142.901103,43.563258,1781,40,6.6,21,ITS.cc.21,1.644,18.513
