ID,Kingdom,Phylum,Class,Order,Family,Genus,Species 
904d51b40e43454815aa39f8cf34c304,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
814c01470e53766e2dd367110ed3166d,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,SCA1145
e9a14d164ab0512dd06be22c1ebb0cd3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
48c1b6dca970f19075933d7bc9379037,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
c3f6466e8ef5e9d355ebd25d758c8708,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,longiquaesitum
7bb5c7719765c272606b3ebedadfe427,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,,
5f95b914dac3d6508d322a2e59855f4a,Bacteria,Proteobacteria,Betaproteobacteria,A21b,EB1003,,
4f40d12f6d53c6041bf780a5fe260c1d,Bacteria,Firmicutes,Bacilli,Bacillales,,,
b3aeaceb209479eaa908598cf8d113c8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Methylibium,
12be311fb850b4446a00bad77a2f3634,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
31328137779d8c2136c9edd42ed0c884,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,SCA1145
a50a8e6b8668d36e4c7b6a40b6bbd33b,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
d7a979e1560d7b07b43ef0e35d8d1bbf,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,
252e42753022cc331adff5b770150025,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
85e19b9902b21bf111ca933d94746347,Bacteria,Acidobacteria,DA052,Ellin6513,,,
7813037e0e0e935a6c193d516d63bf1e,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
8992cd3f64b56816718778ac12c52d1e,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,
60330ce98684f91d0d1f51fd7e892b5e,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,glathei
7b75fd4cff51053ec9dce0d96c68c6ec,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,
2427c20d6a22738463fa7f207d9a2009,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,
0295d0c479b11ce439822d63964e4af1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
d9a93e988d5ffc818c3df6057c394c5f,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,,
b64fd2ac89c346fd7530b018246d3d47,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
6c4527e9b8a62edc1b71db3f8d1e00d7,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
4949021513df2d97d1ce3054cab46619,Bacteria,Acidobacteria,DA052,Ellin6513,,,
3bf0a2ad136b23aba63a7f09dd7cd967,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
ba5ae8ed1577747490904e64d0cf7ac1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
464c96718ee66ccc567cf27f9dc741d5,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
24c70250c4ba762285f559fea8ad11c9,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,
2d79c74d83a70cba5e34d087eab26d8c,Bacteria,Chloroflexi,Ktedonobacteria,Thermogemmatisporales,Thermogemmatisporaceae,,
25e0c8b12f4b8e92820bbe2637201487,Bacteria,Chloroflexi,Ellin6529,,,,
44862cf93122f7cad8c6503f7b2c767e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium,vannielii
a9f534e4071913fcb37f57a977cf98d4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Reyranella,massiliensis
a40c7f2895a154eaaef82c5e4a9cbf55,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,
cefc27bfeb51623dd9b9be055f90a75e,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,
25ffa3f865dbc1d63161f4fcb1a49aae,Bacteria,Acidobacteria,DA052,Ellin6513,,,
2cfb380199c7e4782b8341b6a2db227d,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],Candidatus Xiphinematobacter,
2fd723c318106dc582ec8c8a4bc0e126,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,,
4e99a0d902519c6c03e2837c019b0760,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,,
970fc6eb6839248a21c65dd3dd1ac15e,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
e3177c19cd929b9f0a184fc676ce5fbd,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,
a30d3e7f0e5a71f79588571c4c37f390,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
cc2a808b5d3f3fa44c706c5f547f26c2,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,,
95866d6a52892f053f799f87d9bb02c9,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
48fd093e12e32b9b01187792d97e9750,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,
0e122429e1a86a35e15b64cbca351d71,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
b51cc374e487df9d68ef87f6bb16d5ee,Bacteria,Acidobacteria,iii1-8,32-20,,,
158a50a87c45df58c474054ab81e8144,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
33aa7516a2df787a5aba4c0c97d4d737,Archaea,Crenarchaeota,Thaumarchaeota,Cenarchaeales,SAGMA-X,Nitrosotalea,devanaterra
23ca06031e2ec904dc6dc49596f0c7a8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
129020e5b0bf314605ffde15e0eeaa47,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
480e65b27126bdcdaa629079f3f51471,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
d96dcb38b38beeb6bcb39089493f3f42,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
297d512f3a073032f8bc4e49e90f8299,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
4d752351fe06081312bb785e73b2ce7d,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
4f3e0ca8cbe5857af25d783b56f653b1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,
4b1a19b8d1b762183c0ac1f1a6acd416,Bacteria,Chloroflexi,TK10,B07,,,
92e5e5887a5a081b5919c7b5d1c067f8,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,bowmanii
a8c5884556bb2072c8b6fd112b571c65,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
ce090905f7d8358c07badf35d208aa17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,
911df2c23ed7493058da91405bdeb5a3,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
483242aa3c887a7cd791c2c108356323,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
0c4d755e6397be49a89b0195109ff321,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
5bbc9ba4ed03437b816d2720beab6db0,Bacteria,,,,,,
1aac37affa240529d2cf02eff8b84197,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],Candidatus Xiphinematobacter,
d76f3c01b1fec9c64723c6be07f85397,Bacteria,WPS-2,,,,,
