Tube,root.microb3,Vegetation,Location,SampleID,LDMC..g.g.,SLA..cm.2.g.,X15N,X13C,Wt..N.,Wt..C.
1,Nfix,S,Switzerland,ITS.cc.1,0.421875,132.1795397,-2.0868424,-29.8035856,1.4575696,51.3217023
2,Nfix,S,Switzerland,ITS.cc.2,0.420747097,113.7801261,-1.6744886,-29.1097491,3.3056379,49.3145337
3,Nfix,S,Switzerland,ITS.cc.3,0.375971342,32.73508518,-1.1199786,-29.7873792,3.373462,49.1094719
4,Nfix,S,Switzerland,ITS.cc.4,0.390784558,129.5763623,-1.4123566,-29.2292713,3.0786187,47.8304094
5,Nfix,S,Switzerland,ITS.cc.5,0.381828179,36.84852148,-1.6704558,-28.8869111,3.2160273,46.5199013
6,Nfix,S,Switzerland,ITS.cc.6,0.42464986,126.3690815,-1.5464472,-28.5172026,3.0446319,49.2474421
7,Nfix,S,Switzerland,ITS.cc.7,0.381731684,147.6869785,-1.4436108,-28.6721763,2.9004403,48.1461797
8,Nfix,S,Switzerland,ITS.cc.8,0.394310777,30.59122969,-1.424455,-29.5382058,3.0314924,47.2767435
9,Nfix,S,Switzerland,ITS.cc.9,0.405474654,29.75147978,-1.5635866,-29.2991614,2.5051845,49.3428206
10,Nfix,S,Switzerland,ITS.cc.10,0.408518519,35.30274348,-1.082095453,-29.01266176,2.94464706,48.45719869
21,AMF,S,Japan,ITS.cc.21,0.531668697,122.4542362,-5.6619196,-25.8654304,1.5696194,42.0271896
22,AMF,S,Japan,ITS.cc.22,0.504769475,29.0733932,-4.3855384,-26.7223438,2.4839612,44.2774917
23,AMF,S,Japan,ITS.cc.23,0.484221599,29.24192056,-3.0194274,-25.5423153,1.458645,46.1503852
24,AMF,S,Japan,ITS.cc.24,0.529752705,31.80991836,-0.3870172,-24.7674468,2.542059,44.8904039
25,AMF,S,Japan,ITS.cc.25,0.3813512,33.33867761,1.0668072,-25.9383592,3.332029,45.98782
26,AMF,S,Japan,ITS.cc.26,0.496491228,126.5349853,-0.7318216,-25.2192002,1.9896751,46.1624368
27,AMF,S,Japan,ITS.cc.27,0.460089241,126.5106245,-3.1293212,-25.2971935,2.0349592,44.751782
28,AMF,S,Japan,ITS.cc.28,0.479452055,117.9056333,-3.8905122,-25.9059464,2.3522569,44.724479
29,AMF,S,Japan,ITS.cc.29,0.496581728,127.6291904,-3.491265,-26.0467395,2.9380107,45.2301253
