"","long","lat","MAT","MAP","site","elev","root.microb","plant.species"
"1",101.8663515,33.665536,1.23333323001862,710,"China",3506,"AMF","Potentilla fruticosa"
"2",-75.42548683,4.792977,4.50833320617676,1172,"Colombia",4024,"AMF","Hesperomeles obtusifolia"
"3",15.5398797,50.7688875,2.70416665077209,865,"Czech Rep",1343.749,"ECM.ERM","Pinus mugo"
"4",6.17804,45.4215,4.24166679382324,1526,"France",1797.9457,"Nfix","Alnus alnobetula"
"5",10.59194444,46.6736111,7.83750009536743,590,"Italy",2357.6,"ECM.ERM","Rhododendron ferrugineum"
"6",142.901103,43.563258,-2.21666669845581,1449,"Japan",1771.6,"AMF","Sasa kurilensis"
"7",-97.2669115,19.064165,5.52083349227905,1597,"Mexico",4110.5,"AMF","Chionolaena lavandulifolia"
"8",1.366715,42.575821,5.85833358764648,1161,"Spain",2100,"AMF","Juniperus communis"
"9",0.033207276,42.602807,5.04583311080933,1231,"Spain Ordesa",1942.0066,"Nfix","Echinospartum horridum"
"10",18.736889,68.360658,-1.32499992847443,455,"Sweden",740,"ECM.ERM","Salix lapponum"
"11",8.634943,46.6211,2.80833339691162,1587,"Switzerland",1598.8,"Nfix","Alnus viridis"
"12",-118.24091131,37.57644743,-0.837500035762787,672,"US CA",3750,"AMF","Artemisia rothrockii"
"13",-105.67075,40.1536,-1.41666662693024,732,"US CO",3530,"ECM.ERM","Salix glauca"
